area,area_code,year,obesity,employment_rate,no_adults_in_employment,white,air_emission,median_income,house_price
Croydon 043,E02000235,2011,20.54263566,67.93695132,3.8,81.3289323,78.85279092,45.181,270
Croydon 044,E02000236,2011,16.35514019,67.72117962,2.5,84.1232537,78.40894283,40.645,272
Croydon 045,E02000237,2011,23.3974359,64.16938111,2.6,86.0468227,76.23144315,26.909,200
Ealing 001,E02000238,2011,24.71590909,64.15336374,5,47.7157895,93.23824075,29.229,250
Ealing 002,E02000239,2011,26.20689655,66.46539028,2.8,41.5777778,93.33703709,33.76,277.5
Ealing 003,E02000240,2011,24.94172494,58.90048713,9.8,47.1894788,92.60879712,25.369,205
Ealing 004,E02000241,2011,26.84210526,64.40849343,5.9,51.152282,92.20992896,30.465,250
Ealing 005,E02000242,2011,26.60944206,62.63605779,4,36.4039627,93.75161385,29.655,270
Ealing 006,E02000243,2011,21.07142857,63.32595637,4.4,48.9599248,98.51203067,29.187,250
Ealing 007,E02000244,2011,22.72727273,66.78959985,4.4,53.8622421,103.903074,32.152,250
Ealing 008,E02000245,2011,23.32268371,55.36277603,12.1,43.5017165,95.02726604,22.255,175
Ealing 009,E02000246,2011,20.49861496,55.00581106,9.7,45.4618198,88.5319375,24.459,240
Ealing 010,E02000247,2011,25.25252525,59.02574809,9.3,42.1711292,96.8826711,26.048,190
Ealing 011,E02000248,2011,22.92993631,66.30862871,4.9,53.0269975,119.3989527,38.267,256
Ealing 012,E02000249,2011,21.73913043,60.94276094,5.3,44.9553167,99.003324,28.013,245
Ealing 013,E02000250,2011,10.90909091,68.23805461,1.8,75.7823339,100.8320679,61.772,470
Ealing 014,E02000251,2011,25.61403509,60.88349351,5.4,27.9330312,94.69587149,28.532,250
Ealing 015,E02000252,2011,23.47826087,60.52701271,9.3,48.8460746,117.9841266,26.595,245
Ealing 016,E02000253,2011,21.68367347,56.86534216,8.1,54.7238372,97.71829883,26.097,257.5
Ealing 017,E02000254,2011,23.23529412,57.61096217,4.6,12.6159347,95.93260734,25.997,240
Ealing 018,E02000255,2011,17.98561151,62.42547623,6.2,61.5002641,105.3103682,40.484,390
Ealing 019,E02000256,2011,16.08391608,69.26193922,3.1,69.15698,113.9173189,50.64,340
Ealing 020,E02000257,2011,15.90909091,68.57544517,2.7,62.6989414,117.3089103,51.698,350
Ealing 021,E02000258,2011,16.98113208,62.30906566,5.4,58.9450223,116.6587661,35.249,350
Ealing 022,E02000259,2011,17.91044776,69.51664876,3.6,69.2638623,100.8919081,42.063,330
Ealing 023,E02000260,2011,21.55477032,52.67829813,6.2,9.5522388,111.2302288,24.748,247.5
Ealing 024,E02000261,2011,27.51677852,61.27680552,6.9,50.9102731,112.8549396,29.508,315
Ealing 025,E02000262,2011,20.53571429,65.79562044,4.9,62.8459384,108.7574378,30.715,325
Ealing 026,E02000263,2011,23.95833333,50.53788317,6.3,6.135602,107.50236,22.323,231
Ealing 027,E02000264,2011,25.64102564,69.12698413,2.9,66.6049611,112.1196911,45.947,360
Ealing 028,E02000265,2011,26.80412371,65.63370474,5,61.7051893,109.2309697,33.387,316
Ealing 029,E02000266,2011,23.11557789,48.76730834,11.4,22.7069986,104.1252304,22.204,170.5
Ealing 030,E02000267,2011,23.35025381,69.23956547,3.8,71.3254404,109.1968414,37.448,340
Ealing 031,E02000268,2011,18.56287425,67.30584851,3.8,73.1245993,101.1638973,47.342,390
Ealing 032,E02000269,2011,10.73446328,73.39805825,2,76.6402575,98.10854559,54.721,428
Ealing 033,E02000270,2011,27.33564014,57.11826476,9.1,48.0293423,103.2614601,24.319,260
Ealing 034,E02000271,2011,13.84615385,70.47509136,2,82.7887032,100.6414929,62.306,717.5
Ealing 035,E02000272,2011,11.76470588,69.92840095,2,74.1256669,94.81124422,50.797,457.25
Ealing 037,E02000273,2011,24.38095238,72.13387574,2.8,75.6817166,101.617124,21.267,218
Ealing 038,E02000274,2011,22.83105023,51.67778131,9.1,8.3798005,107.8817238,25.015,196.5
Ealing 039,E02000275,2011,16.41791045,53.84615385,7,17.0092932,100.1076155,49.469,402.5
Ealing 040,E02000276,2011,20.3539823,70.92688543,2.1,75.6471288,98.77287669,48.508,445
Enfield 001,E02000277,2011,26.42276423,60.13902681,9.3,64.9343313,101.7684895,25.716,227.5
Enfield 002,E02000278,2011,26.33451957,51.5562249,14.7,60.9256535,96.10967044,21.779,203
Enfield 003,E02000279,2011,26.47058824,56.23406425,14.3,51.7977329,89.57542625,24.37,190
